carat,cut,color,clarity,depth,table,x,y,z,price,pred_m3,pred_final,desvio_pct
0.81,Fair,F,SI2,68.8,79.0,5.26,5.2,3.58,2301,2423.75,2127.42,8.16
0.35,Ideal,F,VS2,62.4,57.0,4.5,4.51,2.81,706,803.67,733.48,-3.75
0.37,Ideal,G,VS1,61.0,55.0,4.66,4.68,2.85,810,893.58,809.58,0.05
0.41,Ideal,E,VS1,60.4,55.0,4.85,4.89,2.94,1115,1207.87,1076.35,3.59
0.31,Good,F,VS1,56.7,60.0,4.57,4.5,2.57,814,630.79,798.9,1.89
0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,1787,1720.59,1739.34,2.74
2.02,Premium,E,SI2,60.4,57.0,8.21,8.18,4.95,14574,16200.37,16495.59,-11.65
0.58,Very Good,F,VVS2,62.6,56.0,5.37,5.27,3.33,2189,2446.49,2339.1,-6.42
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,982,1059.55,880.45,11.53
1.0,Good,G,SI2,59.7,63.0,6.43,6.5,3.86,3860,3641.32,3942.04,-2.08
1.12,Premium,H,VS1,59.6,57.0,6.82,6.77,4.05,5055,6444.8,6224.62,-18.79
0.47,Ideal,D,VS2,60.3,57.0,5.02,5.07,3.04,1270,1542.44,1395.7,-9.01
0.57,Ideal,H,VVS1,60.9,56.0,5.36,5.38,3.27,1949,2267.71,2021.86,-3.6
0.53,Ideal,I,SI1,61.6,56.6,5.19,5.21,3.21,1127,1148.28,1114.5,1.12
0.6,Ideal,G,VS1,61.1,57.0,5.41,5.45,3.32,2147,2220.66,2024.66,6.04
0.55,Ideal,G,VS1,61.6,55.0,5.29,5.32,3.27,1786,1885.05,1822.35,-1.99
1.08,Ideal,H,SI2,61.0,57.0,6.64,6.6,4.04,4536,4191.55,4402.25,3.04
0.86,Ideal,D,SI2,60.2,56.0,6.16,6.19,3.72,3284,3512.59,3799.45,-13.57
0.71,Premium,I,VS2,62.7,59.0,5.66,5.69,3.56,2127,2259.09,2215.96,-4.01
0.38,Ideal,G,VS2,61.2,55.0,4.69,4.72,2.88,778,876.55,822.3,-5.39
0.8,Ideal,H,VS1,62.2,56.0,5.92,5.95,3.69,3581,3497.95,3373.62,6.15
0.31,Premium,G,SI1,63.0,58.0,4.34,4.3,2.72,593,503.45,631.65,-6.12
0.28,Very Good,E,VS1,63.1,55.0,4.18,4.15,2.63,588,563.39,554.15,6.11
0.9,Very Good,G,SI2,63.3,59.0,6.12,6.07,3.86,3107,3103.68,3328.77,-6.66
0.54,Premium,F,VS2,62.4,55.0,5.23,5.19,3.25,1814,1778.01,1690.86,7.28
1.03,Ideal,I,SI2,59.8,56.0,6.64,6.58,3.95,3530,3398.36,3770.12,-6.37
0.35,Ideal,F,VVS2,61.3,55.0,4.57,4.6,2.81,806,988.11,887.13,-9.15
0.32,Ideal,G,IF,61.7,54.0,4.42,4.46,2.74,918,922.38,897.59,2.27
0.82,Premium,E,VS2,62.6,60.0,5.97,5.91,3.72,3577,4063.82,3442.73,3.9
0.53,Ideal,G,VS1,62.4,54.0,5.18,5.21,3.24,1659,1758.05,1681.37,-1.33
0.7,Premium,F,SI1,60.1,56.0,5.84,5.78,3.49,2394,2498.16,2455.58,-2.51
0.71,Premium,D,SI1,60.6,58.0,5.79,5.77,3.5,2863,2826.61,2812.09,1.81
0.74,Fair,E,I1,58.2,65.0,6.03,5.89,3.47,1865,1376.43,1852.9,0.65
0.42,Ideal,G,VS2,62.1,56.0,4.79,4.84,2.99,847,1058.34,889.95,-4.83
0.3,Very Good,G,VVS1,63.2,58.0,4.25,4.23,2.68,1013,706.78,875.43,15.71
1.02,Premium,G,VS1,62.0,59.0,6.45,6.39,3.98,6238,5897.36,6423.84,-2.89
2.41,Premium,H,SI2,58.7,61.0,8.85,8.76,5.17,15248,18579.04,15948.36,-4.39
0.9,Ideal,J,SI1,62.6,54.0,6.16,6.23,3.88,3102,2699.72,3072.17,0.97
0.4,Premium,G,SI1,62.8,60.0,4.7,4.66,2.94,900,813.6,875.38,2.81
1.13,Ideal,E,SI2,62.4,56.0,6.66,6.63,4.15,4303,5549.48,5077.85,-15.26
1.24,Very Good,E,VS1,62.0,58.0,6.9,6.96,4.3,10185,9284.47,10931.06,-6.83
0.9,Fair,F,VS2,58.9,67.0,6.18,6.17,3.64,3992,4049.0,3840.25,3.95
1.0,Premium,H,VS2,59.3,61.0,6.47,6.45,3.83,5208,4856.92,5134.09,1.44
0.32,Premium,G,VVS1,62.6,58.0,4.41,4.38,2.75,1080,815.87,1043.78,3.47
0.4,Ideal,H,VVS2,60.8,55.0,4.79,4.82,2.92,877,1087.72,950.0,-7.68
1.01,Very Good,E,SI2,63.1,61.0,6.34,6.27,3.98,4118,4296.47,4140.26,-0.54
1.02,Very Good,D,VS2,63.4,54.0,6.38,6.33,4.03,6909,6346.47,6899.38,0.14
1.22,Good,I,VS2,57.2,60.0,7.07,7.01,4.03,5431,5892.53,5317.57,2.13
0.71,Good,G,SI2,63.6,58.0,5.6,5.54,3.55,1816,1910.6,1872.47,-3.02
0.91,Very Good,H,VS2,63.7,57.0,6.1,6.12,3.89,3924,3978.1,3752.61,4.57
0.34,Good,G,SI1,63.9,58.0,4.43,4.4,2.82,650,563.85,641.68,1.3
1.02,Ideal,E,VS1,60.1,57.0,6.52,6.59,3.94,8096,6719.89,7981.24,1.44
1.74,Premium,G,VS1,62.4,58.0,7.71,7.61,4.78,17904,16122.42,15905.7,12.56
2.24,Ideal,I,SI2,62.1,53.6,8.38,8.41,5.21,15730,14676.83,15293.26,2.86
0.21,Premium,D,VS2,59.1,62.0,3.89,3.86,2.29,386,330.82,378.31,2.03
2.01,Ideal,F,SI2,62.3,58.0,8.03,8.01,5.0,15955,15771.03,16564.84,-3.68
0.91,Good,F,VVS2,62.6,61.0,6.12,6.19,3.85,5225,5496.82,5434.41,-3.85
0.31,Good,F,VVS2,63.6,55.0,4.33,4.29,2.74,846,723.51,878.91,-3.74
1.55,Ideal,I,SI1,62.3,54.8,7.37,7.39,4.61,9117,8662.75,9207.36,-0.98
0.71,Ideal,E,VS2,62.0,57.0,5.71,5.74,3.55,3191,3168.91,3078.8,3.64
1.0,Good,D,SI2,64.3,53.0,6.34,6.29,4.06,3965,4293.97,4168.79,-4.89
0.32,Premium,D,VS1,60.5,59.0,4.49,4.45,2.7,1030,783.85,956.81,7.65
0.52,Ideal,F,VS2,62.5,54.0,5.14,5.17,3.22,1600,1693.72,1637.62,-2.3
1.51,Premium,E,VS2,62.2,59.0,7.4,7.36,4.59,14844,12830.72,14346.13,3.47
0.41,Premium,E,SI1,60.4,59.0,4.8,4.75,2.88,775,949.59,938.23,-17.4
0.33,Premium,G,VS2,59.3,61.0,4.51,4.49,2.67,743,657.1,692.13,7.35
1.13,Premium,H,SI2,61.1,59.0,6.73,6.65,4.09,4619,4462.87,4334.24,6.57
0.51,Ideal,G,VVS1,62.6,57.0,5.08,5.14,3.2,2005,2007.06,1901.35,5.45
1.2,Very Good,E,SI1,62.6,58.0,6.73,6.78,4.23,6098,7018.29,6734.74,-9.45
1.2,Ideal,I,SI1,62.4,57.0,6.75,6.8,4.23,5535,5350.0,5367.83,3.11
1.01,Premium,G,VS2,62.4,59.0,6.45,6.41,4.01,5787,5400.48,5975.46,-3.15
0.4,Ideal,I,SI1,61.6,56.0,4.74,4.68,2.9,765,675.94,738.67,3.56
0.41,Ideal,D,VS2,61.5,57.0,4.79,4.77,2.94,1076,1192.66,1105.14,-2.64
0.36,Ideal,F,SI1,61.1,57.0,4.57,4.6,2.8,551,730.42,643.17,-14.33
0.29,Very Good,D,SI1,59.8,55.0,4.3,4.35,2.58,737,512.23,503.44,46.39
1.0,Very Good,E,SI2,63.5,54.0,6.41,6.35,4.05,4480,4216.72,4285.62,4.54
0.51,Ideal,G,VVS2,61.2,55.0,5.18,5.15,3.16,1974,1875.57,1998.15,-1.21
0.7,Very Good,H,SI1,62.7,56.0,5.6,5.62,3.52,2107,2092.06,2049.9,2.79
1.21,Very Good,H,SI1,62.2,56.0,6.75,6.79,4.21,6194,5863.42,5771.34,7.32
0.75,Fair,J,VS2,59.1,66.0,5.99,5.82,3.49,1944,1890.8,1818.26,6.92
1.63,Premium,F,SI1,59.7,62.0,7.73,7.65,4.59,12394,12270.71,12273.58,0.98
0.3,Ideal,E,SI1,61.9,57.0,4.33,4.29,2.67,675,539.32,693.56,-2.68
2.06,Very Good,J,VS2,62.6,58.0,8.05,8.08,5.05,14119,14247.01,13786.84,2.41
0.5,Premium,D,SI2,62.2,58.0,5.08,5.14,3.18,1190,1236.93,1188.82,0.1
1.24,Very Good,H,SI1,62.4,58.0,6.93,6.82,4.29,6625,6140.16,6071.81,9.11
2.08,Premium,I,SI2,60.8,61.0,8.24,8.21,5.0,14047,12481.19,13876.3,1.23
0.69,Fair,I,VS1,57.9,63.0,5.73,5.77,3.33,1692,1997.08,2067.92,-18.18
1.19,Premium,I,SI1,62.2,58.0,6.73,6.77,4.2,4777,5149.19,4874.0,-1.99
0.77,Very Good,I,VS1,62.6,55.0,5.85,5.9,3.68,2501,2759.87,2605.27,-4.0
0.39,Premium,E,VS2,62.5,60.0,4.67,4.64,2.91,951,1002.72,1009.88,-5.83
0.51,Very Good,G,VVS2,63.5,55.0,5.09,5.05,3.22,1842,1793.92,1861.88,-1.07
1.01,Ideal,E,SI2,61.1,59.0,6.53,6.47,3.97,4787,4492.01,4739.92,0.99
0.9,Very Good,I,VS2,63.1,57.0,6.12,6.09,3.85,3473,3453.83,3332.7,4.21
0.7,Ideal,I,VS2,62.5,54.0,5.68,5.71,3.56,2390,2249.59,2209.01,8.19
0.83,Good,J,SI1,63.8,58.0,5.95,5.97,3.8,2195,2133.0,2262.06,-2.96
0.7,Ideal,G,VS2,60.0,57.0,5.8,5.84,3.49,2633,2769.35,2747.58,-4.17
0.33,Ideal,E,VS2,62.6,57.0,4.42,4.37,2.75,928,748.75,889.02,4.38
1.02,Very Good,F,VS2,59.4,58.0,6.52,6.62,3.9,6479,5760.87,6475.78,0.05
0.33,Ideal,F,VS2,61.6,56.0,4.44,4.46,2.74,666,719.38,714.49,-6.79
0.33,Ideal,G,VS1,61.8,56.0,4.42,4.45,2.74,666,720.39,684.23,-2.66
1.21,Good,I,SI1,62.7,59.0,6.63,6.71,4.18,5252,5000.69,4943.21,6.25
1.14,Very Good,G,VS2,61.3,57.0,6.69,6.78,4.13,6500,6635.78,6905.87,-5.88
0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,952,1088.92,1066.37,-10.73
0.24,Ideal,F,VVS1,60.8,55.0,4.03,4.06,2.46,678,519.62,634.15,6.91
0.92,Ideal,H,IF,62.5,55.0,6.25,6.3,3.92,5758,6174.72,5346.81,7.69
0.54,Premium,G,VVS2,60.5,55.0,5.28,5.24,3.18,2090,2042.23,1999.19,4.54
1.0,Premium,G,SI1,61.9,62.0,6.22,6.18,3.84,5154,4568.29,4337.65,18.82
0.31,Premium,E,VS2,60.3,58.0,4.42,4.37,2.65,872,650.78,848.57,2.76
1.01,Ideal,E,SI1,60.8,56.0,6.48,6.51,3.95,5534,5303.89,5558.37,-0.44
0.31,Ideal,E,VS2,62.9,57.0,4.35,4.3,2.72,872,665.59,871.93,0.01
1.01,Very Good,G,SI2,61.8,58.0,6.36,6.39,3.94,3966,3856.37,4220.04,-6.02
0.7,Good,E,SI2,63.7,55.0,5.63,5.58,3.57,2435,2072.54,2109.22,15.45
0.7,Premium,I,VS1,61.7,61.0,5.69,5.63,3.49,2234,2357.77,2081.57,7.32
0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,2927,2907.37,3158.16,-7.32
0.71,Very Good,H,VS1,62.8,59.0,5.61,5.7,3.55,2428,2672.29,2539.59,-4.39
0.73,Ideal,D,VS2,62.3,54.0,5.77,5.8,3.6,3673,3534.24,3418.28,7.45
1.51,Very Good,D,SI2,61.7,59.0,7.28,7.35,4.51,10546,9697.61,9461.77,11.46
0.94,Ideal,F,I1,61.5,55.0,6.34,6.37,3.91,2571,2438.54,2982.29,-13.79
0.6,Very Good,F,SI1,62.4,56.0,5.37,5.4,3.36,1554,1828.09,1628.83,-4.59
1.1,Very Good,H,VS2,61.3,58.0,6.63,6.74,4.1,5914,5685.23,5919.53,-0.09
1.0,Ideal,E,SI2,61.8,57.0,6.39,6.43,3.96,4743,4408.62,4661.74,1.74
0.42,Ideal,I,VVS1,62.5,57.0,4.8,4.77,2.99,945,1131.12,968.21,-2.4
0.72,Very Good,E,SI1,60.0,57.0,5.8,5.84,3.49,2479,2682.12,2646.09,-6.31
0.5,Ideal,D,VS1,62.2,54.4,5.07,5.11,3.16,2033,1857.71,1930.37,5.32
0.62,Very Good,D,SI1,61.3,58.0,5.47,5.49,3.36,1949,2142.19,1944.81,0.22
0.32,Very Good,D,SI1,63.1,57.0,4.38,4.37,2.76,756,616.55,717.77,5.33
1.03,Ideal,J,SI1,61.6,57.0,6.46,6.49,3.99,4175,3480.61,4118.54,1.37
0.24,Ideal,G,VVS1,62.1,56.0,3.97,4.0,2.47,559,485.43,534.1,4.66
1.56,Very Good,H,SI2,58.7,63.0,7.73,7.55,4.49,7583,8012.56,7785.48,-2.6
1.42,Good,F,VS2,63.7,57.0,7.08,6.99,4.48,9542,10334.23,10061.98,-5.17
1.2,Ideal,D,VVS2,61.9,56.0,6.81,6.83,4.22,16130,11078.89,13314.38,21.15
0.5,Ideal,D,VS2,61.2,55.0,5.12,5.07,3.12,1808,1733.05,1762.95,2.56
1.11,Ideal,H,SI2,60.9,56.0,6.71,6.73,4.09,4600,4413.48,4759.21,-3.35
0.77,Premium,E,SI2,60.8,58.0,5.96,5.98,3.63,2519,2635.04,2563.83,-1.75
1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,17009,15957.99,15479.19,9.88
2.4,Ideal,J,SI1,62.7,57.0,8.6,8.5,5.36,16687,17117.48,15452.36,7.99
0.71,Premium,H,SI2,62.4,56.0,5.7,5.64,3.54,2028,1860.27,1954.61,3.75
0.96,Good,H,SI2,60.1,64.0,6.43,6.35,3.84,3548,3089.87,3403.9,4.23
0.3,Very Good,E,VS2,61.7,61.0,4.28,4.31,2.65,658,598.5,608.47,8.14
1.24,Very Good,J,SI1,60.0,59.0,6.99,7.04,4.21,5231,4721.41,4821.23,8.5
1.2,Ideal,H,VS2,61.2,59.0,6.84,6.89,4.2,7072,7002.2,7467.37,-5.29
0.3,Very Good,F,VS2,58.8,60.0,4.37,4.41,2.58,524,575.02,578.57,-9.43
0.72,Premium,H,SI1,61.5,56.0,5.8,5.77,3.56,2398,2255.12,2369.15,1.22
0.78,Very Good,F,VS1,60.6,57.0,5.95,6.0,3.62,3401,3726.23,3508.44,-3.06
0.81,Ideal,H,SI2,63.0,57.0,5.94,5.9,3.73,2313,2438.42,2511.83,-7.92
1.02,Very Good,D,SI1,63.5,61.0,6.35,6.27,4.01,5598,5470.04,5280.18,6.02
1.52,Premium,G,VVS1,60.4,59.0,7.38,7.48,4.49,15959,15341.65,15030.89,6.17
1.84,Ideal,J,VS1,62.4,56.0,7.84,7.8,4.89,8828,12907.97,11590.11,-23.83
1.2,Good,G,SI1,63.5,60.0,6.68,6.74,4.26,4828,6060.61,5861.53,-17.63
0.7,Premium,F,VVS1,63.0,60.0,5.62,5.59,3.53,3204,3813.45,3353.12,-4.45
1.12,Premium,H,SI1,62.2,60.0,6.65,6.59,4.12,5363,5182.02,4936.74,8.63
2.04,Premium,H,SI2,58.0,58.0,8.45,8.36,4.88,11820,13574.22,13793.16,-14.31
0.51,Premium,E,SI1,62.6,60.0,5.13,5.06,3.2,1237,1432.27,1465.1,-15.57
1.12,Premium,H,SI2,62.1,56.0,6.7,6.65,4.14,4014,4388.79,4410.34,-8.99
0.32,Good,H,SI1,63.5,57.0,4.34,4.39,2.77,461,460.95,453.58,1.64
0.58,Ideal,G,SI1,61.4,55.8,5.34,5.38,3.29,1442,1675.12,1464.33,-1.52
2.05,Premium,I,SI2,62.1,59.0,8.13,8.07,5.03,9850,12144.37,12455.47,-20.92
1.01,Good,E,SI1,63.5,58.0,6.28,6.35,4.01,4546,4880.72,5045.28,-9.9
0.71,Ideal,D,SI2,62.5,56.0,5.7,5.73,3.57,2487,2448.4,2473.85,0.53
0.26,Ideal,H,VS1,62.6,56.0,4.07,4.09,2.55,448,421.37,447.17,0.19
0.34,Good,I,SI1,63.7,54.0,4.43,4.48,2.84,447,458.03,442.66,0.98
0.51,Ideal,G,VS2,62.0,56.0,5.18,5.11,3.19,1443,1525.47,1542.73,-6.46
1.26,Fair,G,SI2,53.2,61.0,7.44,7.36,3.94,4966,5203.1,5376.54,-7.64
1.01,Ideal,I,SI1,62.5,56.0,6.4,6.44,4.01,4413,3867.13,4390.47,0.51
1.5,Premium,F,SI2,60.8,59.0,7.36,7.3,4.46,9408,8886.77,8353.23,12.63
1.27,Premium,I,VS1,59.5,61.0,7.08,7.04,4.2,6611,7238.66,6498.86,1.73
0.8,Ideal,F,VS1,61.2,56.0,5.98,6.01,3.67,3860,4086.05,3952.82,-2.35
0.51,Ideal,F,VVS2,61.4,56.0,5.16,5.17,3.17,2025,2007.65,2221.22,-8.83
0.5,Premium,E,VS2,61.5,56.0,5.11,5.07,3.13,1746,1600.93,1615.05,8.11
1.03,Ideal,E,SI1,62.0,57.0,6.44,6.47,4.0,5234,5503.39,5502.61,-4.88
1.07,Ideal,J,SI1,60.8,56.0,6.61,6.57,4.01,3775,3739.5,4186.5,-9.83
0.5,Very Good,G,VVS1,61.5,56.0,5.11,5.14,3.15,1843,1849.43,1897.21,-2.86
0.91,Premium,E,SI1,62.6,58.0,6.17,6.14,3.85,4138,4261.47,4268.99,-3.07
1.91,Premium,I,SI1,60.9,53.0,8.11,8.07,4.93,13367,12551.08,13912.79,-3.92
0.33,Good,F,VVS1,60.2,64.0,4.47,4.5,2.7,724,870.97,876.35,-17.38
1.01,Ideal,D,SI1,61.6,56.0,6.45,6.48,3.98,5234,5613.87,6005.02,-12.84
0.72,Ideal,I,VS1,60.4,56.0,5.8,5.86,3.52,3005,2542.79,2605.14,15.35
0.42,Premium,E,VS1,62.1,55.0,4.85,4.81,3.0,1181,1235.82,1151.54,2.56
1.01,Premium,F,VS2,60.8,58.0,6.44,6.49,3.93,6330,5780.8,6449.86,-1.86
0.9,Very Good,F,VS2,63.4,57.0,6.19,6.08,3.89,4637,4551.24,4329.99,7.09
1.06,Premium,G,VVS2,59.6,58.0,6.61,6.65,3.95,8003,7272.35,7970.44,0.41
1.5,Premium,D,SI2,58.9,60.0,7.48,7.45,4.4,8518,9790.13,8316.18,2.43
0.28,Very Good,F,VS1,61.0,59.0,4.23,4.29,2.6,487,541.29,482.06,1.02
0.7,Premium,H,SI1,60.9,62.0,5.72,5.67,3.47,2176,2138.61,2030.55,7.16
0.7,Very Good,G,SI1,64.3,56.0,5.56,5.58,3.58,2517,2283.01,2079.6,21.03
0.34,Ideal,H,VVS2,60.9,55.0,4.52,4.54,2.75,652,800.96,691.24,-5.68
0.7,Very Good,F,SI1,62.6,59.0,5.64,5.7,3.55,2161,2443.79,2403.57,-10.09
1.25,Very Good,I,SI2,61.0,60.0,6.93,6.98,4.24,4950,4680.1,5169.17,-4.24
0.3,Premium,E,VS2,61.7,60.0,4.31,4.28,2.65,731,611.81,819.0,-10.74
1.74,Ideal,D,SI2,59.7,55.0,7.9,7.84,4.7,9880,13241.5,11470.94,-13.87
2.02,Very Good,G,SI2,62.8,55.0,8.06,8.11,5.08,15877,14224.4,16042.67,-1.03
0.7,Very Good,G,IF,58.5,60.0,5.83,5.87,3.42,3543,3852.33,3323.08,6.62
0.32,Premium,E,VS2,61.6,59.0,4.43,4.4,2.72,768,690.87,875.92,-12.32
0.71,Premium,E,VS2,62.0,61.0,5.71,5.65,3.52,3062,3098.41,2775.12,10.34
0.5,Ideal,J,VS2,61.6,57.0,5.08,5.12,3.14,1099,1035.54,1070.13,2.7
0.9,Premium,E,VS2,62.1,55.0,6.23,6.14,3.84,4833,4842.44,4858.23,-0.52
1.61,Premium,H,SI2,60.3,60.0,7.66,7.57,4.59,9167,8692.18,8253.51,11.07
1.69,Premium,I,VS2,62.4,58.0,7.66,7.53,4.74,10600,11564.97,11541.63,-8.16
1.0,Fair,E,SI2,55.4,62.0,6.63,6.59,3.66,3011,3751.39,3338.7,-9.82
0.5,Very Good,D,VS2,63.3,57.0,5.08,5.06,3.21,1819,1657.61,1685.79,7.9
0.76,Good,D,VS2,63.5,55.0,5.81,5.85,3.7,3443,3508.5,3353.86,2.66
0.91,Very Good,D,SI2,62.0,62.0,6.16,6.25,3.85,3463,3736.93,3970.76,-12.79
0.65,Ideal,J,SI1,61.4,55.0,5.58,5.62,3.44,1276,1462.81,1360.34,-6.2
0.32,Premium,E,IF,61.6,58.0,4.38,4.39,2.7,1095,1004.79,1065.02,2.81
0.38,Ideal,G,IF,61.6,56.0,4.67,4.72,2.89,1074,1274.83,1178.68,-8.88
0.71,Good,G,IF,57.8,62.0,5.82,5.95,3.4,3583,3806.64,3165.16,13.2
0.32,Premium,E,VS2,61.2,59.0,4.43,4.4,2.7,900,690.87,877.28,2.59
0.73,Premium,E,SI2,62.2,55.0,5.81,5.71,3.58,2256,2383.21,2259.06,-0.14
0.76,Ideal,H,SI1,61.7,56.0,5.87,5.84,3.61,2338,2553.62,2619.14,-10.73
1.11,Premium,G,VS2,61.5,58.0,6.69,6.62,4.09,7055,6451.2,6321.41,11.6
0.34,Very Good,E,SI1,63.0,55.0,4.42,4.47,2.8,596,652.95,571.4,4.31
0.41,Ideal,G,VS2,62.7,56.0,4.76,4.71,2.97,1061,1011.39,982.85,7.95
0.7,Premium,H,VS1,62.8,60.0,5.61,5.56,3.51,2367,2659.75,2239.65,5.69
0.35,Good,I,SI1,63.6,56.0,4.5,4.53,2.87,472,483.72,482.93,-2.26
1.11,Very Good,G,SI1,60.3,60.0,6.62,6.67,4.01,5000,5439.28,5183.51,-3.54
1.01,Very Good,G,VS1,62.8,59.0,6.34,6.37,3.99,6499,5662.95,6511.85,-0.2
0.77,Ideal,I,VS1,61.4,56.0,5.86,5.9,3.61,2635,2885.47,2715.65,-2.97
0.74,Very Good,I,VS2,60.8,59.0,5.83,5.85,3.55,2327,2389.02,2346.41,-0.83
0.3,Ideal,G,SI1,62.3,56.0,4.29,4.31,2.68,477,484.08,472.33,0.99
2.13,Ideal,I,SI2,62.6,56.0,8.21,8.14,5.12,12356,13349.13,13031.49,-5.18
1.33,Good,G,VS1,62.8,60.0,6.87,6.92,4.33,10096,9148.35,9215.31,9.56
1.17,Ideal,H,SI2,61.4,56.0,6.83,6.76,4.17,5373,4873.41,4900.18,9.65
0.49,Very Good,F,SI1,62.3,57.0,5.05,5.07,3.15,985,1248.46,1245.9,-20.94
0.6,Very Good,F,SI1,62.1,57.4,5.39,5.45,3.35,1715,1828.09,1634.98,4.89
0.4,Ideal,I,VVS2,62.0,54.0,4.74,4.77,2.95,758,964.22,811.2,-6.56
1.13,Ideal,G,VS2,62.7,56.0,6.61,6.65,4.16,6891,6823.63,6948.92,-0.83
0.5,Good,D,VS2,63.4,56.0,5.05,5.1,3.22,1635,1594.78,1588.63,2.92
1.06,Ideal,G,VS2,61.9,55.0,6.54,6.57,4.06,6728,6049.48,6787.85,-0.88
